Movie Name,IMDB Rating,Genre,Positive Feedback,Referable
Miss Jerry,5.9000000000000004,Romance,154,TRUE
The Story of the Kelly Gang,6.0999999999999996,Biography,589,FALSE
From the Manger to the Cross,5.7000000000000002,Drama,484,FALSE
Madame DuBarry,6.7999999999999998,Romance,753,TRUE
Richard III,5.5,Drama,225,TRUE
Atlantis,6.5999999999999996,Drama,331,FALSE
Traffic in Souls,6,Crime,552,TRUE
The Avenging Conscience,6.4000000000000004,Horror,1105,TRUE
The Bargain,6.5,Western,144,TRUE
Cabiria,7.0999999999999996,Drama,3073,TRUE
Cinderella,6,Fantasy,929,FALSE
A Florida Enchantment,5.7999999999999998,Comedy,202,FALSE
"His Majesty, the Scarecrow of Oz",5.2000000000000002,Adventure,415,FALSE
Hypocrites,6.5999999999999996,Drama,456,TRUE
In the Land of the Head Hunters,5.7999999999999998,Drama,402,FALSE
Judith of Bethulia,6.0999999999999996,Drama,1239,FALSE
The Patchwork Girl of Oz,5.5,Fantasy,382,TRUE
The Perils of Pauline,6.2999999999999998,Drama,939,TRUE
The Squaw Man,5.7000000000000002,Romance,879,TRUE
Uncle Tom's Cabin,5.2999999999999998,Drama,112,FALSE
